Spanish,English
posible,possible
cambio,change
empresas,companies
dio,gave
punto,spot
cosas,things
pandemia,pandemic
estamos,we are
programa,program
centro,center
hombre,man
sentido,sense
marzo,March
lado,side
dólares,dollars
obras,works
tenemos,have
martes,Tuesday
habían,had
personal,staff
respecto,regard
noviembre,November
muchas,many
desarrollo,development
objetivo,aim
noche,evening
llegar,arrive
agosto,August
Argentina,Argentina
época,time
éxito,success
señaló,pointed out
miembros,members
construcción,construction
línea,line
informó,reported
miércoles,Wednesday
sábado,Saturday
edad,age
llamado,called
abril,April
servicio,service
música,music
fuera,out
incluso,even
cerca,near
cuales,which
convirtió,converted
hora,hour
Ministerio,Ministry
guerra,war
apoyo,support
versión,version
cuerpo,body
seguir,continue
primeros,first
próximo,next
niños,children
conocido,acquaintance
dice,says
Universidad,University
ejemplo,example
mercado,market
ciento,hundred
relación,relationship
joven,young
febrero,February
social,social
pues,well
servicios,services
problemas,issues
minutos,minutes
alrededor,around
madre,mother
falta,lack
título,qualification
atención,attention
cargo,post
color,color
edificio,building
partidos,matches
nuevos,new
nunca,never
conocer,know
sólo,only
sigue,go on
Juan,Juan
indicó,Indian
libro,book
última,last
Madrid,Madrid
fecha,date
José,José
hemos,we have
investigación,investigation
ley,law
yo,I
precios,prices
puesto,position
tema,issue
Asimismo,In addition
espera,wait
base,base
decisión,decision
llegó,arrive
precio,price
región,region
pesos,weights
da,da
aseguró,assured
paso,passed
tenían,they had
hijos,children
estudio,study
medidas,measures
seis,six
encuentro,meeting
Mundial,World
dinero,money
local,local
Policía,Police
cabo,cape
estudios,studies
ambos,both
van,they go
canciones,songs
metros,meters
problema,problem
original,original
buena,good
iglesia,church
finales,finals
ministro,minister
medida,extent
estaban,were
estilo,style
encuentran,find
propio,own
actual,current
recibió,received
habitantes,population
mediante,through
década,decade
medios,media
Carlos,Carlos
calle,street
río,river
principales,main
área,area
explicó,explained
calidad,quality
provincia,province
actividades,activities
director,director
muestra,sample
actividad,activity
productos,products
López,Lopez
Luis,Luis
espacio,space
haya,is
club,club
realizar,carry out
condiciones,conditions
unas,nails
comunidad,community
evitar,avoid
of,of
nosotros,us
nuevas,new
campo,field
futuro,future
agregó,added
ir,go
miembro,member
aumento,increase
ejército,army
jornada,day
resto,rest
resultado,result
modo,mode
disco,disk
sería,I would be
escuela,school
comunicado,release
igual,equal
Europa,Europe
estuvo,was
deben,they must
capacidad,ability
dicho,saying
semanas,weeks
ayuda,aid
quiere,wants
único,only
control,control
acciones,actions
grupos,groups
alto,high
claro,clear
capital,capital
crisis,crisis
norte,north
trabajadores,workers
afirmó,stated
cantidad,amount
equipos,teams
tenido,had
jugador,player
origen,origin
esos,those
finalmente,finally
riesgo,risk
violencia,violence
evento,event
aquí,here
parece,seems
tendrá,will have
todavía,still
hija,daughter
sur,south
nuestros,our
sencillo,simple
oportunidad,chance
oficial,official
prensa,press
papel,paper
posición,position
compañía,company
realidad,reality
tal,such
jóvenes,youths
mejores,best
menor,minor
pública,public
diseño,design
trabajar,work
derecho,right
anterior,former
valor,worth
camino,path
resultados,results
movimiento,motion
buen,good
ningún,none
hechos,facts
importantes,important
experiencia,experience
llamada,call
tierra,land
presencia,presence
mayores,older
primero,first
cuanto,how much
conjunto,set
fuerzas,forces
derechos,rights
inicio,start
imagen,image
quedó,remained
vamos,come on
inflación,inflation
respuesta,answer
ahí,there
María,Maria
municipio,municipality
campaña,Campaign
alta,high
mano,hand
gracias,thank you
reunión,meeting
ellas,they
interior,inside
serán,they will be
dado,given
haciendo,doing
usuarios,users
sociedad,society
especial,special
principios,beginning
propia,own
internacional,international
Santa,Santa
pequeño,little
energía,energy
plan,plan
fuerza,force
hermano,brother
rey,king
expresó,express
allí,over there
modelo,model
permite,allows
podemos,can
familias,families
jugadores,players
pudo,could
posibilidad,possibility
vecinos,neighbors
personaje,character
personajes,characters
Twitter,Twitter
recursos,resources
crecimiento,growth
lleva,carry
arte,art
informe,report
mensaje,message
acceso,access
nadie,nobody
participación,stake
dejó,let
busca,seeks
necesario,necessary
isla,island
ayer,yesterday
pueda,can
fuerte,strong
Congreso,Congress
hubo,was
salir,go out
economía,economy
pareja,couple
Venezuela,Venezuela
musical,musical
anunció,advertisement
temas,topics
víctima,victim
proyectos,projects
orden,order
fútbol,soccer
gestión,management
viene,comes
alguna,some
edición,edition
Actualmente,At the moment
superior,superior
tomar,take
causa,cause
destacó,stood out
últimas,latest
principalmente,mostly
televisión,television
dirección,address
período,period
pasar,pass
ganó,won
tamaño,size
especies,species
presente,present
pasó,passed
principio,principle
decidió,decided
realizó,performed
esas,those
propuesta,proposal
líder,leader
jefe,boss
luz,light
siete,seven
murió,died
estará,will be
trabajando,working
aparece,appears
marca,brand
primeras,first
término,term
víctimas,victims
central,central
aproximadamente,approximately
partes,parts
llevar,carry
estructura,structure
fiscal,fiscal
dejar,leave
político,political
ex,ex
he,I have
mucha,a lot
llevó,he took
algún,some
Fernández,Fernandez
idea,idea
organización,organization
menudo,slight
Sánchez,Sanchez
vehículo,vehicle
difícil,difficult
saber,know
común,common
mal,evil
poner,put
mantener,keep
volvió,came back
sitio,place
actualidad,present
militar,military
visto,seen
locales,premises
marco,frame
encontrar,find
plazo,term
formación,training
grande,big
elecciones,elections
media,average
especialmente,especially
diferencia,difference
red,grid
ninguna,none
hablar,talk
conocida,known
comienza,starts
puedan,can
acto,act
estación,season
momentos,moments
publicó,public
especie,species
zonas,zones
antiguo,ancient
hacen,do
incluye,includes
ataque,stroke
victoria,victory
interés,interest
única,unique
libros,books
República,Republic
logró,achievement
video,video
adelante,forward
elementos,items
esposa,wife
inversión,investment
El,He
presidente,president
ganar,gain
defensa,defense
diversos,diverse
mejorar,improve
territorio,territory
mitad,half
cabeza,head
baja,low
impacto,impact
real,real
obtuvo,got
incluyendo,including
ocho,eight
vehículos,vehicles
favor,favor
económica,economic
ciudadanos,citizens
habrá,there will be
lucha,struggle
popular,popular
matrimonio,marriage
pequeña,small
lista,list
padres,parents
cambios,changes
Consejo,Advice
marcha,march
acción,action
trabajos,jobs
compromiso,commitment
habría,there would be
tercer,third
necesidad,need
fuego,fire
Instituto,Institute
superficie,surface
gas,gas
ocasiones,occasions
educación,education
características,characteristics
libertad,freedom
allá,there
Fiscalía,Prosecutor's Office
revista,magazine
presenta,presents
conoce,know
Manuel,Manuel
estadounidense,United States
cara,face
políticas,policies
volver,return
creación,creation
palabras,words
Copa,Cup
gol,goal
tarjeta,card
material,material
Pedro,Peter
podrán,they will be able
ruso,Russian
clase,class
función,function
diez,ten
generalmente,generally
amor,love
jugar,play
salida,exit
Rodríguez,Rodriguez
posteriormente,subsequently
batalla,battle
Francia,France
libre,free
agentes,agents
nombrado,named
armas,arms
enfermedad,disease
entrevista,interview
Colombia,Colombia
titular,holder
pidió,asked
periodo,period
posee,owns
venta,sale
diversas,diverse
inglés,English
Chile,Chili
gobernador,governor
altura,height
ciudades,cities
China,China
español,Spanish
demanda,demand
iniciativa,initiative
existe,exists
autor,author
tercera,third
género,gender
menores,minors
podía,could
familiares,relatives
recibir,receive
llega,arrives
planta,plant
estoy,I'm
García,Garcia
plataforma,platform
clave,clue
crear,create
escenario,scenery
hicieron,they did
alcalde,mayor
calles,streets
comentó,commented
prueba,proof
entidad,entity
ve,go
juegos,games
comunicación,communication
entrada,entrance
iba,was going
escribió,wrote
Justicia,Justice
sabe,know
obstante,however
vista,view
utiliza,uses
p.,p.
lugares,places
Liga,League
sean,be
vuelta,lap
mí,my
relaciones,relations
suelo,floor
creo,believe
carácter,character
demás,others
imágenes,images
velocidad,speed
Comisión,Commission
importancia,importance
producto,product
verano,summer
alimentos,food
pruebas,evidence
municipal,municipal
verdad,TRUE
manos,hands
sistemas,systems
mandatario,leader
amigos,friends
lanzó,launched
tengo,I have
terminó,term
localidad,locality
aire,air
pacientes,patients
sectores,sectors
teatro,theater
estudiantes,students
máximo,maximum
siguientes,following
técnico,technical
cultura,culture
obtener,obtain
lanzamiento,launch
Putin,Putin
kilómetros,kilometers
km,km
transporte,transport
clientes,customers
etapa,stage
formas,shapes
hacerlo,do it
añadió,added
detalles,details
pago,pay
unidades,units
gira,tour
explica,explains
películas,movies
vía,via
m,m
premio,prize
consumo,consumption
América,America
tropas,troops
podrá,will be able
duda,doubt
mis,my
episodio,episode
entrega,delivery
lograr,achieve
blanco,white
Secretaría,Secretariat
cierto,TRUE
cine,cinema
tampoco,neither
profesionales,professionals
hospital,hospital
propiedad,property
categoría,category
próximos,next
podrían,could
económico,economic
ingresos,income
viaje,journey
llegada,arrival
vivienda,dwelling
similar,similar
natural,natural
publicado,published
atrás,back
incremento,increase
pocos,few
juicio,judgment
sede,headquarters
tierras,land
contó,counted
madera,wood
apenas,barely
conflicto,conflict
comercial,commercial
nuestras,our
funcionarios,officials
opción,option
visita,visit
contar,count
web,web
secretario,secretary
rápidamente,quickly
efecto,effect
ofrece,offers
II,II
cantante,singer
cierre,closing
declaraciones,statements
distintos,different
York,york
ocurrió,occurred
Francisco,Francis
oro,gold
tus,your
existen,there are
queda,is left over
siguen,they continue
niveles,levels
alguien,someone
profesional,professional
fuentes,sources
tecnología,technology
áreas,areas
delito,crime
espacios,spaces
fuente,fountain
plantas,floors
anteriores,previous
pequeños,small
Brasil,Brazil
ayudar,help
cumplir,achieve
pasada,pass
pasa,happens
voz,voice
selección,selection
